Time,Open,High,Low,Close
2025-07-13 18:00:00,97.959,98.03,97.872,97.961
2025-07-13 19:20:00,97.961,97.961,97.823,97.838
2025-07-13 20:40:00,97.838,97.884,97.765,97.88
2025-07-13 22:00:00,97.88,97.979,97.848,97.944
2025-07-13 23:20:00,97.944,97.963,97.883,97.918
2025-07-14 00:40:00,97.918,98.039,97.91,98.007
2025-07-14 02:00:00,98.007,98.1,97.969,97.97
2025-07-14 03:20:00,97.97,97.976,97.864,97.904
2025-07-14 04:40:00,97.904,97.949,97.863,97.867
2025-07-14 06:00:00,97.867,97.874,97.821,97.838
2025-07-14 07:20:00,97.838,97.924,97.816,97.919
2025-07-14 08:40:00,97.919,97.994,97.906,97.924
2025-07-14 10:00:00,97.924,98.01,97.867,97.953
2025-07-14 11:20:00,97.953,98.132,97.875,98.105
2025-07-14 12:40:00,98.105,98.136,98.076,98.118
2025-07-14 14:00:00,98.118,98.12,98.057,98.091
2025-07-14 15:20:00,98.091,98.113,98.082,98.103
2025-07-14 16:40:00,98.103,98.127,98.095,98.11
2025-07-14 18:00:00,98.11,98.137,98.097,98.137
2025-07-14 19:20:00,98.137,98.137,98.02,98.04
2025-07-14 20:40:00,98.04,98.104,98.032,98.087
2025-07-14 22:00:00,98.087,98.113,98.023,98.027
2025-07-14 23:20:00,98.027,98.056,98.01,98.055
2025-07-15 00:40:00,98.055,98.055,97.963,97.968
2025-07-15 02:00:00,97.968,98.077,97.957,98.044
2025-07-15 03:20:00,98.044,98.044,97.934,97.971
2025-07-15 04:40:00,97.971,97.997,97.931,97.972
2025-07-15 06:00:00,97.972,98.056,97.955,98.055
2025-07-15 07:20:00,98.055,98.141,97.939,98.14
2025-07-15 08:40:00,98.14,98.367,97.982,98.344
2025-07-15 10:00:00,98.344,98.576,98.34,98.57
2025-07-15 11:20:00,98.57,98.668,98.503,98.662
2025-07-15 12:40:00,98.662,98.699,98.641,98.666
2025-07-15 14:00:00,98.666,98.673,98.606,98.628
2025-07-15 15:20:00,98.628,98.647,98.621,98.636
2025-07-15 16:40:00,98.636,98.652,98.62,98.634
2025-07-15 18:00:00,98.634,98.645,98.583,98.583
2025-07-15 19:20:00,98.583,98.63,98.568,98.57
2025-07-15 20:40:00,98.57,98.609,98.53,98.551
2025-07-15 22:00:00,98.551,98.611,98.551,98.555
2025-07-15 23:20:00,98.555,98.628,98.55,98.569
2025-07-16 00:40:00,98.569,98.579,98.509,98.51
2025-07-16 02:00:00,98.51,98.517,98.437,98.454
2025-07-16 03:20:00,98.454,98.574,98.452,98.541
2025-07-16 04:40:00,98.541,98.572,98.498,98.557
2025-07-16 06:00:00,98.557,98.586,98.501,98.554
2025-07-16 07:20:00,98.554,98.697,98.541,98.569
2025-07-16 08:40:00,98.569,98.912,98.534,98.835
2025-07-16 10:00:00,98.835,98.893,97.919,98.116
2025-07-16 11:20:00,98.116,98.493,97.714,98.395
2025-07-16 12:40:00,98.395,98.402,98.144,98.277
2025-07-16 14:00:00,98.277,98.439,98.266,98.411
2025-07-16 15:20:00,98.411,98.416,98.278,98.317
2025-07-16 16:40:00,98.317,98.318,98.28,98.308
