Time,Open,High,Low,Close
2025-09-14 18:00:00,97.626,97.667,97.607,97.655
2025-09-14 19:36:00,97.655,97.688,97.642,97.653
2025-09-14 21:12:00,97.653,97.662,97.628,97.638
2025-09-14 22:48:00,97.638,97.64,97.565,97.565
2025-09-15 00:24:00,97.565,97.627,97.564,97.622
2025-09-15 02:00:00,97.622,97.702,97.51,97.517
2025-09-15 03:36:00,97.517,97.591,97.492,97.534
2025-09-15 05:12:00,97.534,97.537,97.357,97.409
2025-09-15 06:48:00,97.409,97.43,97.314,97.33
2025-09-15 08:24:00,97.33,97.411,97.298,97.407
2025-09-15 10:00:00,97.407,97.46,97.332,97.347
2025-09-15 11:36:00,97.347,97.397,97.273,97.371
2025-09-15 13:12:00,97.371,97.387,97.273,97.308
2025-09-15 14:48:00,97.308,97.327,97.28,97.311
2025-09-15 16:24:00,97.311,97.362,97.311,97.322
2025-09-15 18:00:00,97.322,97.344,97.32,97.338
2025-09-15 19:36:00,97.338,97.388,97.322,97.352
2025-09-15 21:12:00,97.352,97.387,97.237,97.247
2025-09-15 22:48:00,97.247,97.255,97.161,97.212
2025-09-16 00:24:00,97.212,97.247,97.196,97.21
2025-09-16 02:00:00,97.21,97.21,97.04,97.093
2025-09-16 03:36:00,97.093,97.149,97.021,97.024
2025-09-16 05:12:00,97.024,97.062,96.963,97.045
2025-09-16 06:48:00,97.045,97.079,96.932,97.045
2025-09-16 08:24:00,97.045,97.143,96.878,96.896
2025-09-16 10:00:00,96.896,96.915,96.722,96.836
2025-09-16 11:36:00,96.836,96.851,96.603,96.617
2025-09-16 13:12:00,96.617,96.655,96.556,96.654
2025-09-16 14:48:00,96.654,96.698,96.622,96.647
2025-09-16 16:24:00,96.647,96.685,96.638,96.665
2025-09-16 18:00:00,96.665,96.665,96.617,96.617
2025-09-16 19:36:00,96.617,96.717,96.586,96.698
2025-09-16 21:12:00,96.698,96.754,96.698,96.732
2025-09-16 22:48:00,96.732,96.753,96.71,96.731
2025-09-17 00:24:00,96.731,96.741,96.69,96.716
2025-09-17 02:00:00,96.716,96.844,96.707,96.81
2025-09-17 03:36:00,96.81,96.834,96.729,96.753
2025-09-17 05:12:00,96.753,96.836,96.725,96.758
2025-09-17 06:48:00,96.758,96.83,96.744,96.819
2025-09-17 08:24:00,96.819,96.838,96.709,96.727
2025-09-17 10:00:00,96.727,96.78,96.668,96.749
2025-09-17 11:36:00,96.749,96.784,96.694,96.739
2025-09-17 13:12:00,96.739,96.88,96.218,96.779
2025-09-17 14:48:00,96.779,97.072,96.719,97.069
2025-09-17 16:24:00,97.069,97.072,96.992,97.013
2025-09-17 18:00:00,97.013,97.015,96.926,96.926
2025-09-17 19:36:00,96.926,97.034,96.922,97.026
2025-09-17 21:12:00,97.026,97.099,96.985,97.002
2025-09-17 22:48:00,97.002,97.073,96.971,97.067
2025-09-18 00:24:00,97.067,97.254,97.067,97.226
2025-09-18 02:00:00,97.226,97.311,96.996,97.015
2025-09-18 03:36:00,97.015,97.033,96.897,96.927
2025-09-18 05:12:00,96.927,96.954,96.837,96.911
2025-09-18 06:48:00,96.911,97.077,96.886,97.069
2025-09-18 08:24:00,97.069,97.604,97.052,97.479
2025-09-18 10:00:00,97.479,97.508,97.35,97.383
2025-09-18 11:36:00,97.383,97.478,97.327,97.327
2025-09-18 13:12:00,97.327,97.392,97.302,97.365
2025-09-18 14:48:00,97.365,97.401,97.324,97.377
2025-09-18 16:24:00,97.377,97.4,97.337,97.356
2025-09-18 18:00:00,97.356,97.363,97.344,97.344
2025-09-18 19:36:00,97.344,97.446,97.329,97.412
2025-09-18 21:12:00,97.412,97.47,97.383,97.425
2025-09-18 22:48:00,97.425,97.429,97.27,97.327
2025-09-19 00:24:00,97.327,97.423,97.32,97.409
2025-09-19 02:00:00,97.409,97.592,97.408,97.464
2025-09-19 03:36:00,97.464,97.629,97.429,97.536
2025-09-19 05:12:00,97.536,97.59,97.505,97.533
2025-09-19 06:48:00,97.533,97.776,97.533,97.772
2025-09-19 08:24:00,97.772,97.809,97.54,97.579
2025-09-19 10:00:00,97.579,97.679,97.505,97.679
2025-09-19 11:36:00,97.679,97.694,97.571,97.602
2025-09-19 13:12:00,97.602,97.642,97.593,97.638
2025-09-19 14:48:00,97.638,97.685,97.621,97.656
2025-09-19 16:24:00,97.656,97.692,97.646,97.649
