Time,Open,High,Low,Close
2025-08-10 18:00:00,98.237,99.32,98.208,98.234
2025-08-10 20:00:00,98.234,98.275,98.16,98.16
2025-08-10 22:00:00,98.16,98.16,98.038,98.06
2025-08-11 00:00:00,98.06,98.088,98.034,98.077
2025-08-11 02:00:00,98.077,98.228,98.04,98.215
2025-08-11 04:00:00,98.215,98.305,98.14,98.286
2025-08-11 06:00:00,98.286,98.442,98.243,98.404
2025-08-11 08:00:00,98.404,98.509,98.388,98.474
2025-08-11 10:00:00,98.474,98.67,98.464,98.56
2025-08-11 12:00:00,98.56,98.607,98.507,98.515
2025-08-11 14:00:00,98.515,98.598,98.495,98.578
2025-08-11 16:00:00,98.578,98.581,98.478,98.499
2025-08-11 18:00:00,98.499,98.509,98.485,98.496
2025-08-11 20:00:00,98.496,98.541,98.448,98.495
2025-08-11 22:00:00,98.495,98.511,98.457,98.496
2025-08-12 00:00:00,98.496,98.539,98.438,98.534
2025-08-12 02:00:00,98.534,98.554,98.438,98.46
2025-08-12 04:00:00,98.46,98.596,98.458,98.562
2025-08-12 06:00:00,98.562,98.622,98.513,98.575
2025-08-12 08:00:00,98.575,98.598,98.136,98.253
2025-08-12 10:00:00,98.253,98.326,97.897,98.069
2025-08-12 12:00:00,98.069,98.114,97.97,98.059
2025-08-12 14:00:00,98.059,98.131,98.019,98.063
2025-08-12 16:00:00,98.063,98.095,98.044,98.065
2025-08-12 18:00:00,98.065,98.067,98.023,98.036
2025-08-12 20:00:00,98.036,98.086,97.998,98.08
2025-08-12 22:00:00,98.08,98.13,98.004,98.032
2025-08-13 00:00:00,98.032,98.077,98.016,98.052
2025-08-13 02:00:00,98.052,98.052,97.765,97.801
2025-08-13 04:00:00,97.801,97.808,97.626,97.629
2025-08-13 06:00:00,97.629,97.787,97.629,97.697
2025-08-13 08:00:00,97.697,97.88,97.677,97.775
2025-08-13 10:00:00,97.775,97.79,97.664,97.746
2025-08-13 12:00:00,97.746,97.821,97.73,97.812
2025-08-13 14:00:00,97.812,97.873,97.812,97.834
2025-08-13 16:00:00,97.834,97.835,97.778,97.785
2025-08-13 18:00:00,97.785,97.792,97.719,97.719
2025-08-13 20:00:00,97.719,97.72,97.632,97.659
2025-08-13 22:00:00,97.659,97.77,97.659,97.733
2025-08-14 00:00:00,97.733,97.774,97.695,97.739
2025-08-14 02:00:00,97.739,97.884,97.684,97.871
2025-08-14 04:00:00,97.871,97.937,97.811,97.863
2025-08-14 06:00:00,97.863,97.871,97.753,97.828
2025-08-14 08:00:00,97.828,98.166,97.795,98.165
2025-08-14 10:00:00,98.165,98.269,98.049,98.225
2025-08-14 12:00:00,98.225,98.322,98.215,98.276
2025-08-14 14:00:00,98.276,98.314,98.182,98.201
2025-08-14 16:00:00,98.201,98.225,98.185,98.194
2025-08-14 18:00:00,98.194,98.203,98.174,98.187
2025-08-14 20:00:00,98.187,98.214,98.091,98.126
2025-08-14 22:00:00,98.126,98.155,98.038,98.07
2025-08-15 00:00:00,98.07,98.072,97.998,97.999
2025-08-15 02:00:00,97.999,98.044,97.898,97.908
2025-08-15 04:00:00,97.908,97.947,97.854,97.878
2025-08-15 06:00:00,97.878,97.929,97.848,97.888
2025-08-15 08:00:00,97.888,98.002,97.761,97.811
2025-08-15 10:00:00,97.811,97.818,97.725,97.804
2025-08-15 12:00:00,97.804,97.878,97.796,97.843
2025-08-15 14:00:00,97.843,97.883,97.828,97.864
2025-08-15 16:00:00,97.864,97.867,97.792,97.792
2025-08-17 18:00:00,97.792,97.867,97.775,97.84
2025-08-17 20:00:00,97.84,97.932,97.812,97.85
2025-08-17 22:00:00,97.85,97.912,97.838,97.856
2025-08-18 00:00:00,97.856,97.872,97.809,97.831
2025-08-18 02:00:00,97.831,97.999,97.819,97.995
2025-08-18 04:00:00,97.995,98.057,97.931,97.996
2025-08-18 06:00:00,97.996,98.045,97.935,98.027
2025-08-18 08:00:00,98.027,98.089,97.996,98.046
2025-08-18 10:00:00,98.046,98.186,97.992,98.111
2025-08-18 12:00:00,98.111,98.181,98.097,98.143
2025-08-18 14:00:00,98.143,98.177,98.101,98.122
2025-08-18 16:00:00,98.122,98.165,98.108,98.149
2025-08-18 18:00:00,98.149,98.156,98.121,98.126
2025-08-18 20:00:00,98.126,98.317,98.103,98.221
2025-08-18 22:00:00,98.221,98.244,98.167,98.203
2025-08-19 00:00:00,98.203,98.212,98.119,98.181
2025-08-19 02:00:00,98.181,98.205,97.995,98.006
2025-08-19 04:00:00,98.006,98.078,98.006,98.036
2025-08-19 06:00:00,98.036,98.042,97.94,97.997
2025-08-19 08:00:00,97.997,98.149,97.982,98.077
2025-08-19 10:00:00,98.077,98.216,98.066,98.216
2025-08-19 12:00:00,98.216,98.236,98.17,98.21
2025-08-19 14:00:00,98.21,98.299,98.21,98.27
2025-08-19 16:00:00,98.27,98.292,98.255,98.273
2025-08-19 18:00:00,98.273,98.322,98.27,98.321
2025-08-19 20:00:00,98.321,98.403,98.302,98.389
2025-08-19 22:00:00,98.389,98.441,98.336,98.364
2025-08-20 00:00:00,98.364,98.368,98.305,98.31
2025-08-20 02:00:00,98.31,98.389,98.254,98.275
2025-08-20 04:00:00,98.275,98.359,98.252,98.261
2025-08-20 06:00:00,98.261,98.316,98.184,98.31
2025-08-20 08:00:00,98.31,98.31,98.09,98.175
2025-08-20 10:00:00,98.175,98.266,98.092,98.256
2025-08-20 12:00:00,98.256,98.256,98.079,98.087
2025-08-20 14:00:00,98.087,98.24,98.087,98.239
2025-08-20 16:00:00,98.239,98.286,98.221,98.235
2025-08-20 18:00:00,98.235,98.262,98.211,98.232
2025-08-20 20:00:00,98.232,98.313,98.227,98.28
2025-08-20 22:00:00,98.28,98.318,98.248,98.287
2025-08-21 00:00:00,98.287,98.32,98.265,98.265
2025-08-21 02:00:00,98.265,98.442,98.214,98.239
2025-08-21 04:00:00,98.239,98.284,98.184,98.243
2025-08-21 06:00:00,98.243,98.376,98.238,98.37
2025-08-21 08:00:00,98.37,98.535,98.24,98.499
2025-08-21 10:00:00,98.499,98.674,98.445,98.655
2025-08-21 12:00:00,98.655,98.684,98.551,98.576
2025-08-21 14:00:00,98.576,98.661,98.561,98.654
2025-08-21 16:00:00,98.654,98.663,98.617,98.64
2025-08-21 18:00:00,98.64,98.645,98.591,98.61
2025-08-21 20:00:00,98.61,98.701,98.584,98.666
2025-08-21 22:00:00,98.666,98.788,98.618,98.784
2025-08-22 00:00:00,98.784,98.834,98.757,98.804
2025-08-22 02:00:00,98.804,98.831,98.703,98.747
2025-08-22 04:00:00,98.747,98.767,98.695,98.746
2025-08-22 06:00:00,98.746,98.764,98.681,98.691
2025-08-22 08:00:00,98.691,98.721,98.597,98.706
2025-08-22 10:00:00,98.706,98.707,97.625,97.769
2025-08-22 12:00:00,97.769,97.777,97.556,97.602
2025-08-22 14:00:00,97.602,97.761,97.581,97.742
2025-08-22 16:00:00,97.742,97.752,97.687,97.732
