Time,Open,High,Low,Last,Change,%Change,Volume
"2025-09-19 15:00",97.647,97.692,97.646,97.647,0,0.00%,0
"2025-09-19 14:00",97.644,97.663,97.621,97.647,0.003,0.00%,0
"2025-09-19 13:00",97.618,97.653,97.615,97.644,0.026,+0.03%,0
"2025-09-19 12:00",97.593,97.631,97.583,97.618,0.026,+0.03%,0
"2025-09-19 11:00",97.592,97.672,97.571,97.592,-0.001,0.00%,0
"2025-09-19 10:00",97.574,97.694,97.566,97.593,0.019,+0.02%,0
"2025-09-19 09:00",97.579,97.589,97.505,97.574,-0.006,-0.01%,0
"2025-09-19 08:00",97.76,97.762,97.54,97.58,-0.18,-0.18%,0
"2025-09-19 07:00",97.744,97.809,97.695,97.76,0.016,+0.02%,0
"2025-09-19 06:00",97.564,97.757,97.557,97.744,0.181,+0.19%,0
"2025-09-19 05:00",97.57,97.574,97.528,97.563,-0.008,-0.01%,0
"2025-09-19 04:00",97.555,97.59,97.505,97.571,0.017,+0.02%,0
"2025-09-19 03:00",97.519,97.629,97.51,97.554,0.035,+0.04%,0
"2025-09-19 02:00",97.512,97.592,97.429,97.519,0.007,+0.01%,0
"2025-09-19 01:00",97.409,97.549,97.408,97.512,0.103,+0.11%,0
"2025-09-19 00:00",97.398,97.423,97.367,97.409,0.011,+0.01%,0
"2025-09-18 23:00",97.358,97.417,97.27,97.398,0.04,+0.04%,0
"2025-09-18 22:00",97.417,97.417,97.282,97.358,-0.059,-0.06%,0
"2025-09-18 21:00",97.444,97.47,97.409,97.417,-0.026,-0.03%,0
"2025-09-18 20:00",97.368,97.457,97.362,97.443,0.075,+0.08%,0
"2025-09-18 19:00",97.343,97.446,97.329,97.368,0.025,+0.03%,0
"2025-09-18 18:00",97.344,97.348,97.332,97.343,-0.019,-0.02%,0
"2025-09-18 17:00",97.356,97.363,97.355,97.362,0.005,+0.01%,0
"2025-09-18 16:00",97.363,97.377,97.337,97.357,-0.007,-0.01%,0
"2025-09-18 15:00",97.374,97.401,97.364,97.364,-0.01,-0.01%,0
"2025-09-18 14:00",97.348,97.383,97.324,97.374,0.026,+0.03%,0
"2025-09-18 13:00",97.348,97.392,97.332,97.348,-0.002,0.00%,0
"2025-09-18 12:00",97.356,97.364,97.302,97.35,-0.006,-0.01%,0
"2025-09-18 11:00",97.41,97.459,97.352,97.356,-0.054,-0.06%,0
"2025-09-18 10:00",97.426,97.478,97.35,97.41,-0.016,-0.02%,0
