Time,Open,High,Low,Last,Change,%Change,Volume
"2025-09-09 07:12",97.494,97.529,97.475,97.522,0.028,+0.03%,0
"2025-09-09 07:00",97.487,97.528,97.473,97.494,0.006,+0.01%,0
"2025-09-09 06:48",97.436,97.491,97.436,97.488,0.052,+0.05%,0
"2025-09-09 06:36",97.423,97.438,97.407,97.436,0.013,+0.01%,0
"2025-09-09 06:24",97.401,97.427,97.398,97.423,0.021,+0.02%,0
"2025-09-09 06:12",97.397,97.406,97.389,97.402,0.004,0.00%,0
"2025-09-09 06:00",97.382,97.408,97.376,97.398,0.015,+0.02%,0
"2025-09-09 05:48",97.358,97.388,97.356,97.383,0.026,+0.03%,0
"2025-09-09 05:36",97.342,97.375,97.342,97.357,0.015,+0.02%,0
"2025-09-09 05:24",97.308,97.343,97.297,97.342,0.034,+0.03%,0
"2025-09-09 05:12",97.292,97.31,97.271,97.308,0.016,+0.02%,0
"2025-09-09 05:00",97.28,97.301,97.26,97.292,0.012,+0.01%,0
"2025-09-09 04:48",97.305,97.305,97.253,97.28,-0.025,-0.03%,0
"2025-09-09 04:36",97.27,97.306,97.259,97.305,0.036,+0.04%,0
"2025-09-09 04:24",97.32,97.32,97.254,97.269,-0.051,-0.05%,0
"2025-09-09 04:12",97.285,97.322,97.28,97.32,0.034,+0.03%,0
"2025-09-09 04:00",97.359,97.36,97.286,97.286,-0.072,-0.07%,0
"2025-09-09 03:48",97.384,97.398,97.354,97.358,-0.026,-0.03%,0
"2025-09-09 03:36",97.413,97.428,97.349,97.384,-0.029,-0.03%,0
"2025-09-09 03:24",97.472,97.473,97.376,97.413,-0.058,-0.06%,0
"2025-09-09 03:12",97.504,97.513,97.431,97.471,-0.033,-0.03%,0
"2025-09-09 03:00",97.46,97.517,97.454,97.504,0.043,+0.04%,0
"2025-09-09 02:48",97.499,97.503,97.452,97.461,-0.038,-0.04%,0
"2025-09-09 02:36",97.376,97.501,97.373,97.499,0.123,+0.13%,0
"2025-09-09 02:24",97.361,97.389,97.357,97.376,0.015,+0.02%,0
"2025-09-09 02:12",97.362,97.403,97.346,97.361,-0.001,0.00%,0
"2025-09-09 02:00",97.372,97.383,97.35,97.362,-0.012,-0.01%,0
"2025-09-09 01:48",97.412,97.429,97.359,97.374,-0.038,-0.04%,0
"2025-09-09 01:36",97.337,97.421,97.334,97.412,0.075,+0.08%,0
"2025-09-09 01:24",97.313,97.364,97.307,97.337,0.024,+0.02%,0
"2025-09-09 01:12",97.311,97.337,97.303,97.313,0.002,0.00%,0
"2025-09-09 01:00",97.269,97.323,97.259,97.311,0.043,+0.04%,0
"2025-09-09 00:48",97.292,97.298,97.262,97.268,-0.023,-0.02%,0
