Time,Open,High,Low,Close
2025-04-13 18:00:00,100.02,100.065,99.822,99.924
2025-04-13 19:20:00,99.924,100.023,99.69,99.714
2025-04-13 20:40:00,99.714,99.832,99.351,99.552
2025-04-13 22:00:00,99.552,99.679,99.444,99.66
2025-04-13 23:20:00,99.66,99.761,99.553,99.611
2025-04-14 00:40:00,99.611,99.801,99.515,99.541
2025-04-14 02:00:00,99.541,99.613,99.208,99.341
2025-04-14 03:20:00,99.341,99.507,99.331,99.483
2025-04-14 04:40:00,99.483,99.533,99.327,99.472
2025-04-14 06:00:00,99.472,99.601,99.452,99.463
2025-04-14 07:20:00,99.463,99.728,99.357,99.64
2025-04-14 08:40:00,99.64,100.163,99.605,99.938
2025-04-14 10:00:00,99.938,99.984,99.546,99.661
2025-04-14 11:20:00,99.661,99.79,99.52,99.62
2025-04-14 12:40:00,99.62,99.873,99.62,99.777
2025-04-14 14:00:00,99.777,99.781,99.573,99.574
2025-04-14 15:20:00,99.574,99.759,99.554,99.716
2025-04-14 16:40:00,99.716,99.744,99.671,99.676
2025-04-14 18:00:00,99.676,99.809,99.626,99.809
2025-04-14 19:20:00,99.809,99.97,99.804,99.968
2025-04-14 20:40:00,99.968,99.975,99.833,99.898
2025-04-14 22:00:00,99.898,99.9,99.688,99.719
2025-04-14 23:20:00,99.719,99.752,99.632,99.653
2025-04-15 00:40:00,99.653,99.694,99.559,99.687
2025-04-15 02:00:00,99.687,99.891,99.579,99.732
2025-04-15 03:20:00,99.732,99.849,99.479,99.585
2025-04-15 04:40:00,99.585,99.702,99.568,99.693
2025-04-15 06:00:00,99.693,99.767,99.613,99.73
2025-04-15 07:20:00,99.73,99.871,99.662,99.804
2025-04-15 08:40:00,99.804,99.927,99.709,99.865
2025-04-15 10:00:00,99.865,100.092,99.771,99.922
2025-04-15 11:20:00,99.922,100.252,99.898,100.248
2025-04-15 12:40:00,100.248,100.276,100.152,100.232
2025-04-15 14:00:00,100.232,100.273,100.155,100.155
2025-04-15 15:20:00,100.155,100.185,100.11,100.135
2025-04-15 16:40:00,100.135,100.175,100.134,100.163
2025-04-15 18:00:00,100.163,100.163,100.062,100.062
2025-04-15 19:20:00,100.062,100.104,99.856,99.905
2025-04-15 20:40:00,99.905,99.931,99.803,99.863
2025-04-15 22:00:00,99.863,99.878,99.789,99.807
2025-04-15 23:20:00,99.807,99.842,99.677,99.718
2025-04-16 00:40:00,99.718,99.718,99.398,99.426
2025-04-16 02:00:00,99.426,99.593,99.423,99.442
2025-04-16 03:20:00,99.442,99.637,99.354,99.637
2025-04-16 04:40:00,99.637,99.725,99.464,99.625
2025-04-16 06:00:00,99.625,99.673,99.51,99.571
2025-04-16 07:20:00,99.571,99.715,99.523,99.669
2025-04-16 08:40:00,99.669,99.716,99.482,99.497
2025-04-16 10:00:00,99.497,99.622,99.396,99.524
2025-04-16 11:20:00,99.524,99.615,99.406,99.456
2025-04-16 12:40:00,99.456,99.611,99.386,99.501
2025-04-16 14:00:00,99.501,99.562,99.272,99.276
2025-04-16 15:20:00,99.276,99.397,99.174,99.312
2025-04-16 16:40:00,99.312,99.334,99.249,99.266
2025-04-16 18:00:00,99.266,99.28,99.234,99.234
2025-04-16 19:20:00,99.234,99.502,99.222,99.473
2025-04-16 20:40:00,99.473,99.66,99.473,99.588
2025-04-16 22:00:00,99.588,99.588,99.444,99.462
2025-04-16 23:20:00,99.462,99.594,99.462,99.584
2025-04-17 00:40:00,99.584,99.741,99.543,99.683
2025-04-17 02:00:00,99.683,99.746,99.537,99.617
2025-04-17 03:20:00,99.617,99.678,99.431,99.439
2025-04-17 04:40:00,99.439,99.53,99.416,99.517
2025-04-17 06:00:00,99.517,99.595,99.476,99.505
2025-04-17 07:20:00,99.505,99.707,99.491,99.588
2025-04-17 08:40:00,99.588,99.626,99.402,99.446
2025-04-17 10:00:00,99.446,99.614,99.27,99.462
2025-04-17 11:20:00,99.462,99.617,99.364,99.573
2025-04-17 12:40:00,99.573,99.592,99.48,99.53
2025-04-17 14:00:00,99.53,99.595,99.365,99.383
2025-04-17 15:20:00,99.383,99.412,99.355,99.409
2025-04-17 16:40:00,99.409,99.456,99.374,99.411
2025-04-17 18:00:00,99.411,99.42,99.394,99.394
2025-04-17 19:20:00,99.394,99.449,99.255,99.301
2025-04-17 20:40:00,99.301,99.447,99.273,99.386
2025-04-17 22:00:00,99.386,99.441,99.306,99.44
2025-04-17 23:20:00,99.44,99.453,99.331,99.38
2025-04-18 00:40:00,99.38,99.474,99.331,99.401
2025-04-18 02:00:00,99.401,99.478,99.326,99.37
2025-04-18 03:20:00,99.37,99.43,99.367,99.417
2025-04-18 04:40:00,99.417,99.423,99.393,99.409
2025-04-18 06:00:00,99.409,99.412,99.357,99.376
2025-04-18 07:20:00,99.376,99.391,99.293,99.309
2025-04-18 08:40:00,99.309,99.359,99.308,99.353
2025-04-18 10:00:00,99.353,99.357,99.238,99.3
2025-04-18 11:20:00,99.3,99.303,99.252,99.255
2025-04-18 12:40:00,99.255,99.27,99.245,99.255
2025-04-18 14:00:00,99.255,99.259,99.226,99.228
2025-04-18 15:20:00,99.228,99.25,99.213,99.222
2025-04-18 16:40:00,99.222,99.236,99.078,99.078
2025-04-20 18:00:00,99.078,99.208,98.874,98.88
2025-04-20 19:20:00,98.88,98.921,98.539,98.614
2025-04-20 20:40:00,98.614,98.711,98.57,98.581
2025-04-20 22:00:00,98.581,98.618,98.263,98.349
2025-04-20 23:20:00,98.349,98.428,98.249,98.328
2025-04-21 00:40:00,98.328,98.373,98.166,98.188
2025-04-21 02:00:00,98.188,98.375,98.183,98.286
2025-04-21 03:20:00,98.286,98.288,97.993,98.062
2025-04-21 04:40:00,98.062,98.108,97.921,98.099
2025-04-21 06:00:00,98.099,98.343,98.097,98.278
2025-04-21 07:20:00,98.278,98.28,98.081,98.257
2025-04-21 08:40:00,98.257,98.385,98.111,98.24
2025-04-21 10:00:00,98.24,98.512,98.211,98.479
2025-04-21 11:20:00,98.479,98.492,98.33,98.399
2025-04-21 12:40:00,98.399,98.479,98.334,98.336
2025-04-21 14:00:00,98.336,98.35,98.248,98.304
2025-04-21 15:20:00,98.304,98.41,98.304,98.4
2025-04-21 16:40:00,98.4,98.41,98.348,98.359
2025-04-21 18:00:00,98.359,98.397,98.299,98.299
2025-04-21 19:20:00,98.299,98.558,98.299,98.544
2025-04-21 20:40:00,98.544,98.564,98.418,98.459
2025-04-21 22:00:00,98.459,98.46,98.104,98.113
2025-04-21 23:20:00,98.113,98.152,98.08,98.102
2025-04-22 00:40:00,98.102,98.243,98.013,98.04
2025-04-22 02:00:00,98.04,98.413,98.021,98.337
2025-04-22 03:20:00,98.337,98.477,98.296,98.399
2025-04-22 04:40:00,98.399,98.453,98.331,98.427
2025-04-22 06:00:00,98.427,98.47,98.353,98.441
2025-04-22 07:20:00,98.441,98.622,98.355,98.545
2025-04-22 08:40:00,98.545,98.663,98.49,98.552
2025-04-22 10:00:00,98.552,98.644,98.434,98.496
2025-04-22 11:20:00,98.496,98.777,98.473,98.748
2025-04-22 12:40:00,98.748,98.871,98.722,98.741
2025-04-22 14:00:00,98.741,98.954,98.741,98.944
2025-04-22 15:20:00,98.944,98.988,98.878,98.974
2025-04-22 16:40:00,98.974,99.438,98.924,99.437
2025-04-22 18:00:00,99.437,99.645,99.435,99.478
2025-04-22 19:20:00,99.478,99.612,99.312,99.312
2025-04-22 20:40:00,99.312,99.349,99.037,99.095
2025-04-22 22:00:00,99.095,99.251,99.075,99.251
2025-04-22 23:20:00,99.251,99.374,99.24,99.251
2025-04-23 00:40:00,99.251,99.346,99.125,99.304
2025-04-23 02:00:00,99.304,99.316,99.112,99.114
2025-04-23 03:20:00,99.114,99.28,99.043,99.145
2025-04-23 04:40:00,99.145,99.145,98.863,99.023
2025-04-23 06:00:00,99.023,99.281,99.019,99.167
2025-04-23 07:20:00,99.167,99.248,99.023,99.116
2025-04-23 08:40:00,99.116,99.628,99.074,99.628
2025-04-23 10:00:00,99.628,99.671,99.347,99.568
2025-04-23 11:20:00,99.568,99.681,99.352,99.662
2025-04-23 12:40:00,99.662,99.821,99.62,99.79
2025-04-23 14:00:00,99.79,99.901,99.79,99.814
2025-04-23 15:20:00,99.814,99.939,99.772,99.909
2025-04-23 16:40:00,99.909,99.929,99.804,99.804
2025-04-23 18:00:00,99.804,99.831,99.745,99.745
2025-04-23 19:20:00,99.745,99.841,99.696,99.765
2025-04-23 20:40:00,99.765,99.779,99.549,99.6
2025-04-23 22:00:00,99.6,99.657,99.553,99.649
2025-04-23 23:20:00,99.649,99.727,99.631,99.71
2025-04-24 00:40:00,99.71,99.743,99.634,99.697
2025-04-24 02:00:00,99.697,99.699,99.475,99.496
2025-04-24 03:20:00,99.496,99.497,99.303,99.436
2025-04-24 04:40:00,99.436,99.466,99.291,99.329
2025-04-24 06:00:00,99.329,99.371,99.244,99.277
2025-04-24 07:20:00,99.277,99.482,99.27,99.429
2025-04-24 08:40:00,99.429,99.457,99.317,99.364
2025-04-24 10:00:00,99.364,99.567,99.274,99.561
2025-04-24 11:20:00,99.561,99.594,99.427,99.483
2025-04-24 12:40:00,99.483,99.483,99.329,99.447
2025-04-24 14:00:00,99.447,99.484,99.309,99.31
2025-04-24 15:20:00,99.31,99.341,99.226,99.241
2025-04-24 16:40:00,99.241,99.311,99.223,99.304
2025-04-24 18:00:00,99.304,99.414,99.279,99.414
2025-04-24 19:20:00,99.414,99.593,99.402,99.593
