Time,Open,High,Low,Close
2025-06-01 18:00:00,99.408,99.42,99.314,99.369
2025-06-01 20:00:00,99.369,99.37,99.112,99.207
2025-06-01 22:00:00,99.207,99.338,99.184,99.279
2025-06-02 00:00:00,99.279,99.295,99.131,99.139
2025-06-02 02:00:00,99.139,99.15,98.679,98.767
2025-06-02 04:00:00,98.767,98.844,98.682,98.788
2025-06-02 06:00:00,98.788,98.87,98.746,98.834
2025-06-02 08:00:00,98.834,98.935,98.728,98.787
2025-06-02 10:00:00,98.787,98.818,98.612,98.748
2025-06-02 12:00:00,98.748,98.903,98.743,98.843
2025-06-02 14:00:00,98.843,98.873,98.66,98.662
2025-06-02 16:00:00,98.662,98.716,98.655,98.699
2025-06-02 18:00:00,98.699,98.714,98.583,98.588
2025-06-02 20:00:00,98.588,98.837,98.584,98.829
2025-06-02 22:00:00,98.829,98.929,98.808,98.898
2025-06-03 00:00:00,98.898,98.939,98.829,98.857
2025-06-03 02:00:00,98.857,98.909,98.765,98.89
2025-06-03 04:00:00,98.89,98.988,98.864,98.911
2025-06-03 06:00:00,98.911,99.118,98.909,99.083
2025-06-03 08:00:00,99.083,99.197,99.054,99.146
2025-06-03 10:00:00,99.146,99.328,99.098,99.256
2025-06-03 12:00:00,99.256,99.309,99.179,99.199
2025-06-03 14:00:00,99.199,99.301,99.199,99.29
2025-06-03 16:00:00,99.29,99.293,99.222,99.233
2025-06-03 18:00:00,99.233,99.262,99.153,99.164
2025-06-03 20:00:00,99.164,99.283,99.081,99.138
2025-06-03 22:00:00,99.138,99.308,99.118,99.292
2025-06-04 00:00:00,99.292,99.392,99.211,99.339
2025-06-04 02:00:00,99.339,99.384,99.069,99.169
2025-06-04 04:00:00,99.169,99.205,99.035,99.19
2025-06-04 06:00:00,99.19,99.261,99.174,99.237
2025-06-04 08:00:00,99.237,99.239,98.937,99.049
2025-06-04 10:00:00,99.049,99.049,98.723,98.783
2025-06-04 12:00:00,98.783,98.799,98.673,98.755
2025-06-04 14:00:00,98.755,98.865,98.728,98.864
2025-06-04 16:00:00,98.864,98.876,98.786,98.814
2025-06-04 18:00:00,98.814,98.822,98.787,98.799
2025-06-04 20:00:00,98.799,98.867,98.689,98.844
2025-06-04 22:00:00,98.844,98.9,98.779,98.892
2025-06-05 00:00:00,98.892,98.941,98.857,98.929
2025-06-05 02:00:00,98.929,98.939,98.792,98.902
2025-06-05 04:00:00,98.902,98.908,98.816,98.837
2025-06-05 06:00:00,98.837,98.858,98.723,98.797
2025-06-05 08:00:00,98.797,98.863,98.351,98.446
2025-06-05 10:00:00,98.446,98.821,98.436,98.789
2025-06-05 12:00:00,98.789,98.847,98.695,98.731
2025-06-05 14:00:00,98.731,98.826,98.704,98.779
2025-06-05 16:00:00,98.779,98.802,98.709,98.74
2025-06-05 18:00:00,98.74,98.74,98.677,98.679
2025-06-05 20:00:00,98.679,98.767,98.655,98.756
2025-06-05 22:00:00,98.756,98.836,98.749,98.778
2025-06-06 00:00:00,98.778,98.862,98.766,98.821
2025-06-06 02:00:00,98.821,98.934,98.801,98.89
2025-06-06 04:00:00,98.89,99.031,98.881,98.977
2025-06-06 06:00:00,98.977,98.983,98.904,98.978
2025-06-06 08:00:00,98.978,99.357,98.886,99.223
2025-06-06 10:00:00,99.223,99.303,99.031,99.186
2025-06-06 12:00:00,99.186,99.281,99.155,99.211
2025-06-06 14:00:00,99.211,99.219,99.151,99.183
2025-06-06 16:00:00,99.183,99.231,99.18,99.196
2025-06-08 18:00:00,99.196,99.196,99.074,99.119
2025-06-08 20:00:00,99.119,99.219,99.013,99.027
2025-06-08 22:00:00,99.027,99.046,98.947,99.045
2025-06-09 00:00:00,99.045,99.053,98.961,98.977
2025-06-09 02:00:00,98.977,99.003,98.891,98.935
2025-06-09 04:00:00,98.935,98.955,98.817,98.9
2025-06-09 06:00:00,98.9,99.059,98.874,98.997
2025-06-09 08:00:00,98.997,99.227,98.995,99.139
2025-06-09 10:00:00,99.139,99.187,98.929,98.94
2025-06-09 12:00:00,98.94,99.002,98.934,98.972
2025-06-09 14:00:00,98.972,98.991,98.909,98.975
2025-06-09 16:00:00,98.975,99.025,98.959,99.001
2025-06-09 18:00:00,99.001,99.011,98.951,98.971
2025-06-09 20:00:00,98.971,99.224,98.895,99.205
2025-06-09 22:00:00,99.205,99.302,99.127,99.135
2025-06-10 00:00:00,99.135,99.225,99.049,99.113
2025-06-10 02:00:00,99.113,99.39,99.057,99.264
2025-06-10 04:00:00,99.264,99.266,99.079,99.083
2025-06-10 06:00:00,99.083,99.116,98.954,98.992
2025-06-10 08:00:00,98.992,99.02,98.862,98.874
2025-06-10 10:00:00,98.874,99.096,98.864,99.063
2025-06-10 12:00:00,99.063,99.117,99.032,99.073
2025-06-10 14:00:00,99.073,99.127,98.976,99.048
2025-06-10 16:00:00,99.048,99.087,99.016,99.048
2025-06-10 18:00:00,99.048,99.055,98.948,98.965
2025-06-10 20:00:00,98.965,99.186,98.939,99.171
2025-06-10 22:00:00,99.171,99.194,99.106,99.122
2025-06-11 00:00:00,99.122,99.156,99.079,99.082
2025-06-11 02:00:00,99.082,99.221,99.074,99.117
2025-06-11 04:00:00,99.117,99.128,98.948,99.028
2025-06-11 06:00:00,99.028,99.103,98.984,99.053
2025-06-11 08:00:00,99.053,99.094,98.58,98.795
2025-06-11 10:00:00,98.795,98.808,98.596,98.602
2025-06-11 12:00:00,98.602,98.662,98.546,98.56
2025-06-11 14:00:00,98.56,98.699,98.525,98.68
2025-06-11 16:00:00,98.68,98.689,98.629,98.631
2025-06-11 18:00:00,98.631,98.631,98.452,98.453
2025-06-11 20:00:00,98.453,98.519,98.285,98.368
2025-06-11 22:00:00,98.368,98.459,98.328,98.346
2025-06-12 00:00:00,98.346,98.408,98.247,98.271
2025-06-12 02:00:00,98.271,98.495,98.266,98.347
2025-06-12 04:00:00,98.347,98.363,97.935,98.031
2025-06-12 06:00:00,98.031,98.065,97.789,97.898
2025-06-12 08:00:00,97.898,97.929,97.602,97.893
2025-06-12 10:00:00,97.893,98.028,97.85,97.962
2025-06-12 12:00:00,97.962,98.038,97.928,97.94
2025-06-12 14:00:00,97.94,97.977,97.904,97.93
2025-06-12 16:00:00,97.93,97.939,97.843,97.848
2025-06-12 18:00:00,97.848,97.849,97.677,97.677
2025-06-12 20:00:00,97.677,98.15,97.621,98.082
2025-06-12 22:00:00,98.082,98.258,98.017,98.191
2025-06-13 00:00:00,98.191,98.394,98.167,98.255
2025-06-13 02:00:00,98.255,98.313,98.083,98.22
2025-06-13 04:00:00,98.22,98.372,98.138,98.345
2025-06-13 06:00:00,98.345,98.586,98.285,98.421
2025-06-13 08:00:00,98.421,98.518,98.316,98.345
2025-06-13 10:00:00,98.345,98.351,98.004,98.084
2025-06-13 12:00:00,98.084,98.225,98.012,98.141
2025-06-13 14:00:00,98.141,98.232,98.112,98.124
2025-06-13 16:00:00,98.124,98.214,98.122,98.138
